recordNumber,countryCode,siteName,programme,latitude,longtiude,polarization,status,frequency,channel,maxERP,antennaHeight_AGL,path
1,ET,FURI,PAL,8.88277778,14.68694444,HOR,Operational,178,5,5,60,Land
2,ET,FURI,PAL,8.88277778,14.68694444,HOR,Operational,192,7,5,60,Land
3,ET,HARAR,PAL,42.12444444,9.28861111,HOR,Operational,192,7,1,60,Land
4,ET,DIRE DAWA,PAL,9.5875,41.83444444,HOR,Operational,178,5,0.25,60,Land
5,ET,JIJIGA,PAL,9.3525,42.7025,HOR,Operational,192,11,0.2,60,Land
6,ET,NAZIRETH,PAL,39.23333333,8.55222222,HOR,Operational,178,11,1,60,Land
7,ET,DESSIE,PAL,11.11972222,39.61361111,HOR,Operational,220,9,1,60,Land
8,ET,JIMMA,PAL,7.71888889,36.86694444,HOR,Operational,220,5,0.5,60,Land
9,ET,NEKEMTE ,PAL,36.6325,9.11027778,HOR,Operational,206,9,0.5,60,Land
10,ET,SHASHEMENE,PAL,38.62166667,7.12666667,HOR,Operational,206,5,1,60,Land
11,ET,DILA,PAL,6.43694444,38.39416667,HOR,Operational,178,11,0.5,60,Land
12,ET,GONDAR,PAL,37.46777778,12.63027778,HOR,Operational,178,7,0.5,60,Land
13,ET,BAHIRDAR,PAL,37.35861111,11.59416667,HOR,Operational,192,5,0.4,60,Land
14,ET,MEKELE,PAL,13.55638889,39.54361111,HOR,Operational,185,7,1,60,Land
15,ET,AXUM,PAL,14.1175,38.80083333,HOR,Operational,206,9,1,60,Land
16,ET,ASSOSA,PAL,10.06444444,34.57722222,HOR,Operational,220,11,1,60,Land
17,ET,GODE,PAL,6.1025,43.01444444,HOR,Operational,206,9,1,60,Land
18,ET,ADI REMEST,PAL,13.74166667,37.3225,HOR,Operational,586,35,3,100,Land
19,ET,ANKOBER,PAL,9.68805556,39.73416667,HOR,Operational,578,34,3,80,Land
20,ET,ASSOSA,PAL,10.06444444,34.57722222,HOR,Operational,786,60,3,60,Land
21,ET,DEBARK,PAL,13.20972222,37.97944444,HOR,Operational,762,57,3,80,Land
22,ET,DESSIE,PAL,11.11972222,39.61361111,HOR,Operational,690,48,3,100,Land
24,ET,DILA,PAL,6.43694444,38.39416667,HOR,Operational,538,29,3,100,Land
26,ET,KEBRIDAHAR ,PAL,44.26805556,6.74083333,HOR,Operational,698,24,3,100,Land
27,ET,FICHE,PAL,9.77888889,38.63833333,HOR,Operational,706,50,3,100,Land
28,ET,FURI,PAL,8.88277778,38.68694444,HOR,Operational,642,42,3,80,Land
29,ET,GORE,PAL,8.15166667,35.53444444,HOR,Operational,706,50,3,100,Land
30,ET,JIJIGA,PAL,9.3525,42.7025,HOR,Operational,650,43,3,80,Land
31,ET,JIMMA,PAL,7.71888889,36.86694444,HOR,Operational,666,45,3,80,Land
32,ET,JINKA,PAL,5.70138889,36.68444444,HOR,Operational,674,46,3,80,Land
33,ET,KUNI,PAL,8.99972222,40.86555556,HOR,Operational,546,35,3,60,Land
34,ET,MAICHEW,PAL,12.83305556,39.56277778,HOR,Operational,738,54,3,100,Land
35,ET,NEFAS MEWCHA,PAL,11.70194444,38.39027778,HOR,Operational,474,21,3,100,Land
36,ET,SHEBEL ,PAL,8.45472222,34.58777778,HOR,Operational,530,28,3,80,Land
37,ET,TENDAHO,PAL,11.67194444,40.94166667,HOR,Operational,650,43,3,60,Land
38,ET,WELDIA,PAL,11.85388889,39.60944444,HOR,Operational,506,25,3,60,Land
39,ET,NEKEMTE ,PAL,38.6325,9.11027778,HOR,Operational,610,38,3,100,Land
40,ET,GODE,PAL,6.1025,43.01444444,HOR,Operational,530,28,3,60,Land
41,ET,MEKELE,PAL,13.55638889,39.54361111,HOR,Operational,738,54,3,100,Land
42,ET,AXUM,PAL,14.1175,38.80083333,HOR,Operational,714,51,3,100,Land
43,ET,DIRE DAWA,PAL,9.5875,41.83444444,HOR,Operational,642,42,3,60,Land
44,ET,MEGA,PAL,4.09305556,38.32305556,HOR,Operational,730,53,3,100,Land
45,ET,Choke Terara,PAL,10.64861111,37.83972222,HOR,Operational,562,32,3,80,Land
46,ET,ABIY ADI,PAL,13.62694444,38.98972222,HOR,Operational,498,24,3,60,Land
47,ET,AMENTILA,PAL,39.70777778,13.36444444,HOR,Operational,626,40,3,80,Land
48,ET,DERBA,PAL,37.83944444,5.8225,HOR,Operational,578,34,3,80,Land
49,ET,WARDER,PAL,45.34472222,6.96972222,HOR,Operational,682,47,2,60,Land
50,ET,FILTU,PAL,40.52416667,5.13666667,HOR,Operational,634,41,0.5,80,Land
51,ET,ADIGRAT,PAL,39.41555556,14.2475,HOR,Operational,714,51,3,100,Land
52,ET,GINIR,PAL,40.71416667,7.14944444,HOR,Operational,666,45,3,100,Land
53,ET,DELLOMENA,PAL,39.84527778,6.41361111,HOR,Operational,626,40,2,60,Land
54,ET,FIK,PAL,42.29944444,8.13194444,HOR,Operational,714,51,2,60,Land
55,ET,MAJI,PAL,35.59638889,6.15027778,HOR,Operational,594,36,2,80,Land
56,ET,GUBA,PAL,35.30472222,11.2525,HOR,Operational,490,23,3,60,Land
57,ET,YABELLO,PAL,38.08638889,4.88722222,HOR,Operational,706,50,1,60,Land
58,ET,SAMRE ,PAL,39.21472222,13.17916667,HOR,Operational,682,47,3,80,Land
59,ET,Bella/Ghimbi/BILLA,PAL,35.57722222,7.34194444,HOR,Operational,698,24,3,80,Land
